#ITER     #MEDIA_BFO        #MEDIA_M
266           4678.61        4840.47
267            4678.6        4840.46
268            4678.6        4840.46
269            4678.6        4840.45
270            4678.6        4840.44
271            4678.6        4840.43
272           4678.59        4840.42
273           4678.59        4840.42
274           4678.59        4840.41
275           4678.59         4840.4
276           4678.58        4840.39
277           4678.58        4840.39
278           4678.58        4840.38
279           4678.58        4840.37
280           4678.58        4840.37
281           4678.58        4840.36
282           4678.56        4840.35
283           4678.56        4840.34
284           4678.54        4840.32
285           4678.52        4840.32
286           4678.52        4840.31
287           4678.49         4840.3
288           4678.49        4840.29
289           4678.49        4840.29
290           4678.49        4840.28
291           4678.49        4840.27
292           4678.49        4840.26
293           4678.48        4840.26
294           4678.48        4840.25
295           4678.48        4840.25
296           4678.47        4840.24
297           4678.47        4840.24
298           4678.46        4840.23
299           4678.46        4840.23
300           4678.44        4840.22
301           4678.44        4840.21
302           4678.44        4840.21
303           4678.43         4840.2
304           4678.39        4840.19
305           4678.39        4840.19
306           4678.37        4840.17
307           4678.37        4840.17
308           4678.37        4840.16
309           4678.35        4840.16
310           4678.34        4840.15
311           4678.34        4840.14
312           4678.33        4840.13
313            4678.3        4840.12
314           4678.29        4840.12
315           4678.29        4840.12
316           4678.29        4840.11
317           4678.29         4840.1
318           4678.29         4840.1
319           4678.29        4840.09
320           4678.29        4840.09
321           4678.29        4840.08
322           4678.29        4840.08
323           4678.29        4840.08
324           4678.29        4840.07
325           4678.28        4840.06
326           4678.28        4840.05
327           4678.28        4840.05
328           4678.28        4840.04
329           4678.28        4840.03
330           4678.28        4840.03
331           4678.27        4840.03
332           4678.27        4840.03
333           4678.27        4840.02
334           4678.27        4840.02
335           4678.27        4840.01
336           4678.26           4840
337           4678.24           4840
338           4678.24           4840
339           4678.24        4839.99
340           4678.24        4839.98
341           4678.24        4839.98
342           4678.24        4839.97
343           4678.24        4839.97
344           4678.24        4839.97
345           4678.24        4839.96
346           4678.24        4839.96
347           4678.23        4839.95
348           4678.23        4839.95
349           4678.23        4839.95
350           4678.23        4839.94
351           4678.21        4839.93
352           4678.21        4839.93
353           4678.21        4839.93
354           4678.21        4839.92
355           4678.21        4839.91
356           4678.21        4839.91
357           4678.21        4839.91
358            4678.2         4839.9
359            4678.2         4839.9
360            4678.2         4839.9
361            4678.2        4839.89
362            4678.2        4839.89
363            4678.2        4839.88
364            4678.2        4839.88
365            4678.2        4839.88
366            4678.2        4839.87
367            4678.2        4839.87
368            4678.2        4839.87
369            4678.2        4839.86
370            4678.2        4839.85
371           4678.19        4839.85
372           4678.19        4839.84
373           4678.19        4839.84
374           4678.19        4839.84
375           4678.19        4839.83
376           4678.19        4839.83
377           4678.19        4839.83
378           4678.19        4839.83
379           4678.19        4839.82
380           4678.19        4839.82
381           4678.19        4839.82
382           4678.19        4839.81
383           4678.19        4839.81
384           4678.19        4839.81
385           4678.18         4839.8
386           4678.15         4839.8
387           4678.15         4839.8
388           4678.15        4839.79
389           4678.14        4839.79
390           4678.14        4839.79
391           4678.14        4839.78
392           4678.14        4839.78
393           4678.14        4839.78
394           4678.14        4839.78
395           4678.14        4839.77
396           4678.14        4839.77
397           4678.14        4839.77
398           4678.14        4839.76
399           4678.14        4839.76
400           4678.14        4839.75
401           4678.14        4839.75
402           4678.14        4839.75
403           4678.14        4839.74
404           4678.14        4839.74
405           4678.14        4839.74
406           4678.14        4839.74
407           4678.14        4839.74
408           4678.14        4839.73
409           4678.14        4839.73
410           4678.14        4839.72
411           4678.14        4839.72
412           4678.14        4839.72
413           4678.14        4839.72
414           4678.11        4839.71
415           4678.11        4839.71
416           4678.11        4839.71
417           4678.11        4839.71
418           4678.11         4839.7
419           4678.11         4839.7
420           4678.11         4839.7
421            4678.1        4839.69
422            4678.1        4839.69
423            4678.1        4839.68
424            4678.1        4839.68
425            4678.1        4839.68
426            4678.1        4839.68
427           4678.09        4839.67
428           4678.08        4839.66
429           4678.08        4839.66
430           4678.08        4839.66
431           4678.08        4839.65
432           4678.08        4839.65
433           4678.08        4839.65
434           4678.08        4839.65
435           4678.08        4839.65
436           4678.08        4839.65
437           4678.07        4839.64
438           4678.07        4839.64
439           4678.07        4839.64
440           4678.07        4839.64
441           4678.07        4839.63
442           4678.07        4839.63
443           4678.07        4839.62
444           4678.07        4839.62
445           4678.07        4839.62
446           4678.07        4839.62
447           4678.06        4839.61
448           4678.06        4839.61
449           4678.05        4839.61
