#ITER       #BEST_FO       #MEDIA_FO
1           7627.71    2.37528e+16
2           7627.71    4.75056e+14
3           7627.71    9.50117e+12
4           7627.71    1.90062e+11
5           7627.71    3.80187e+09
6           7627.71     7.6055e+07
7           7627.71    1.53632e+06
8            6860.8        43972.3
9            6860.8        13085.8
10            6860.8        11600.7
11            6860.8        10303.1
12            6860.8        9938.45
13            6860.8        9534.29
14           6583.83        9362.22
15           6480.08        9054.37
16           6480.08        8801.31
17           6469.59         8596.5
18           6469.59        8503.12
19           6469.59        8486.75
20           6469.59        8224.17
21           6469.59        8165.54
22           6469.59        8109.52
23           6469.59        8010.75
24           6469.59        7951.88
25           6469.59        7911.23
26           6469.59        7834.09
27           6469.59           7829
28           6469.59        7789.46
29           6469.59        7766.86
30           6469.59        7764.49
31           6469.59        7762.85
32           6469.59        7649.27
33           6469.59        7628.93
34           6469.59        7565.63
35           6469.59        7519.99
36           6469.59         7509.2
37           6455.54        7462.11
38           6455.54        7306.34
39           6455.54        7200.53
40           6387.66        7062.36
41           6363.03        6995.45
42           6344.53        6934.21
43           6344.53        6836.68
44           6315.53           6795
45           6285.34        6730.23
46           6273.25        6698.49
47           6273.25        6684.63
48           6273.25        6668.29
49           6273.25        6661.86
50           6273.25        6654.88
51           6273.25        6644.13
52           6209.14        6626.76
53           6209.14        6582.97
54           6166.74        6560.39
55           6063.26        6548.45
56           6063.26         6546.1
57           6063.26        6529.06
58           6063.26        6525.18
59           6063.26        6519.28
60           6063.26        6519.16
61           6063.26         6509.4
62           6063.26        6492.51
63           6063.26        6491.24
64           6063.26        6479.96
65           6063.26         6473.6
66           6063.26        6467.76
67           6063.26         6466.2
68           6063.26        6460.41
69           6063.26        6452.57
70           6063.26         6444.9
71           6063.26        6422.77
72           6059.46        6416.09
73           6059.46        6412.22
74           6059.46        6409.71
75           6059.46        6409.07
76           6054.21        6406.71
77           6054.21        6405.85
78           6054.21        6398.36
79           6054.21        6398.21
80           6054.21        6398.21
81           6054.21        6397.58
82           6053.41         6391.7
83           6053.41        6390.43
84           6053.41        6390.41
85           6053.41         6382.7
86           6053.41        6382.55
87           6053.41        6382.55
88           6053.41        6382.55
89           6053.41        6382.55
90           6053.41        6379.39
91           6053.41         6374.4
92           6053.41        6374.22
93           6053.41        6374.22
94           6048.91        6370.93
95           6048.91        6370.86
96           6048.91        6369.82
97           6048.91        6368.72
98           6048.91        6366.89
99           6048.91        6366.73
100           6048.91        6356.38
101           6048.91        6355.95
102           6048.91        6351.99
103           6048.91        6350.65
104           6048.91        6349.26
105           6048.91        6348.52
106           6048.91        6347.72
107           6048.91        6333.78
108           6048.91        6330.19
109           5999.46         6325.7
110           5999.46        6325.61
111           5999.46        6325.61
112           5999.46        6321.64
113           5999.46        6317.59
114           5999.46        6317.51
115           5999.46        6317.51
116           5996.69        6315.46
117           5996.69        6314.65
118           5996.69        6314.64
119           5996.69        6314.42
120           5996.69        6312.38
121           5996.69        6311.95
122           5996.69        6310.71
123           5996.69        6308.94
124           5996.69        6304.12
125           5996.69        6303.01
126           5996.69        6302.99
127           5996.69         6302.1
128           5996.69        6293.33
129           5996.69        6292.58
130           5996.69        6290.41
131           5996.69        6288.33
132           5996.69           6284
133           5996.69        6283.92
134           5996.69        6283.91
135           5996.69        6283.91
136           5996.69        6283.22
137           5996.69           6283
138           5996.69        6282.99
139           5996.69        6282.99
140           5996.69        6281.21
141           5996.69        6281.17
