#ITER       #BEST_FO       #MEDIA_FO
1            7102.3        10658.4
2            7102.3        8355.88
3           6840.88        7617.53
4           6417.66        7215.86
5           6267.64        6908.05
6           6139.64        6722.52
7           5932.05        6541.86
8           5800.08        6290.72
9           5446.85        6118.73
10           5329.86        5936.66
11           5075.04        5710.05
12           4962.58        5541.18
13           4897.36        5348.22
14           4825.22        5230.18
15           4825.01        5188.38
16           4825.01        5137.77
17           4821.54        5096.84
18           4816.62        5072.54
19           4816.62        5051.79
20            4811.9        5034.48
21           4800.08        5019.38
22           4752.45        4995.77
23           4752.45        4976.77
24           4749.65        4967.34
25           4742.45        4949.83
26           4730.16        4939.98
27           4729.55        4931.08
28           4729.55        4920.43
29           4728.76         4915.4
30           4721.84        4908.99
31           4715.93         4905.6
32           4713.01        4900.84
33           4713.01        4892.05
34           4710.77        4887.88
35           4707.13        4885.39
36           4696.82        4882.63
37           4695.48        4880.34
38           4692.77        4876.25
39           4690.08        4869.66
40           4690.08        4867.35
41              4686        4865.56
42              4686        4863.38
43              4686        4861.75
44           4685.03        4860.12
45           4685.03        4859.45
46           4683.52        4857.15
47           4683.52         4855.9
48           4683.52        4853.36
49           4681.43        4851.36
50           4681.43        4850.53
51           4681.26        4849.59
52           4681.26        4848.75
53           4681.26        4847.22
54           4681.16        4846.48
55           4681.16        4846.03
56           4680.04         4845.4
57           4680.04        4845.12
58           4679.81        4844.55
59           4679.81         4844.4
60           4679.81        4844.31
61           4679.81        4844.31
62           4679.81        4844.15
63           4679.81        4844.08
64           4679.81        4844.02
65           4679.81        4843.65
66           4679.81        4843.62
67           4679.81        4843.44
68           4679.81        4843.36
69            4679.1        4843.29
70            4679.1        4843.27
71            4679.1        4843.27
72            4679.1        4843.25
73           4678.91        4843.08
74           4678.91        4842.95
75            4678.9        4842.76
76            4678.9        4842.56
77            4678.9        4842.56
78            4678.9        4842.52
79           4678.77        4842.35
80           4678.77        4842.24
81           4678.77        4842.23
82           4678.77        4842.22
83           4678.77        4842.14
84           4678.77        4841.99
85           4678.77        4841.98
86           4678.77        4841.91
87           4678.77        4841.84
88           4678.77        4841.78
89           4678.77        4841.78
90           4678.68        4841.77
91           4678.53        4841.61
92           4678.53        4841.42
93           4678.53        4841.28
94           4678.53        4841.13
95           4678.53        4841.12
96           4678.35        4841.07
97           4678.35        4841.06
98           4678.35        4841.03
99           4678.35        4841.03
100           4678.35        4841.03
101           4678.35        4841.03
102           4678.35           4841
103           4678.35        4840.81
104           4678.35        4840.79
105           4678.35        4840.78
106           4678.35        4840.76
107           4678.35         4840.7
108           4678.35        4840.69
109           4678.35        4840.67
110           4678.35        4840.67
111           4678.35        4840.63
112           4678.35        4840.62
113           4678.35        4840.56
114           4678.35        4840.52
115           4678.35        4840.48
116           4678.35        4840.43
117            4678.3        4840.35
118            4678.3        4840.27
119           4678.19        4840.16
120           4678.19        4840.15
121           4678.19        4840.11
122           4678.19        4840.11
123           4678.19        4840.09
124           4678.19        4840.08
125           4678.19        4840.06
126           4677.89        4840.04
127           4677.89        4840.02
128           4677.89           4840
129           4677.89        4839.96
130           4677.89        4839.95
131           4677.89        4839.92
132           4677.89        4839.91
133           4677.89        4839.88
134           4677.77        4839.86
135           4677.77         4839.8
136           4677.77        4839.79
137           4677.77        4839.78
138           4677.77        4839.78
139           4677.77        4839.77
140           4677.77        4839.75
141           4677.77        4839.74
142           4677.77        4839.74
143           4677.77        4839.73
144           4677.77        4839.72
145           4677.77         4839.7
146            4677.5        4839.67
147            4677.5        4839.67
148            4677.5        4839.65
149            4677.5        4839.62
150            4677.5        4839.59
151            4677.5        4839.57
152            4677.5        4839.56
153            4677.5        4839.54
154            4677.5        4839.51
155            4677.5        4839.51
156            4677.5         4839.5
157            4677.5        4839.48
158            4677.5        4839.47
159            4677.5        4839.46
160            4677.5        4839.46
161            4677.5        4839.45
162            4677.5        4839.45
163            4677.5        4839.44
164            4677.5        4839.42
165            4677.5         4839.4
166            4677.5        4839.39
167            4677.5        4839.38
168            4677.5        4839.36
169            4677.5        4839.34
170            4677.5        4839.32
171            4677.5        4839.32
172            4677.5        4839.27
173            4677.5        4839.24
174            4677.5        4839.23
175            4677.5        4839.23
176            4677.5        4839.18
177            4677.5        4839.14
178            4677.5        4839.14
179            4677.5        4839.13
180            4677.5        4839.13
181            4677.5        4839.12
182            4677.5        4839.12
183           4677.48        4839.11
184           4677.48         4839.1
185           4677.48         4839.1
186           4677.48         4839.1
187           4677.48         4839.1
188           4677.48        4839.08
189           4677.48        4839.08
190           4677.48        4839.08
191           4677.48        4839.08
192           4677.48        4839.08
193           4677.48        4839.07
194           4677.48        4839.07
195           4677.48        4839.07
196           4677.48        4839.07
197           4677.48        4839.06
198           4677.48        4839.06
199           4677.48        4839.05
200           4677.48        4839.05
201           4677.48        4839.05
202           4677.48        4839.05
203           4677.48        4839.04
204           4677.48        4839.04
205           4677.48        4839.03
206           4677.48        4839.02
207           4677.48           4839
208           4677.48           4839
209           4677.47           4839
210           4677.47           4839
211           4677.47           4839
212           4677.45        4838.99
213           4677.45        4838.99
214           4677.45        4838.99
215           4677.45        4838.98
216           4677.45        4838.98
217           4677.45        4838.98
218           4677.45        4838.97
219           4677.45        4838.97
220           4677.45        4838.97
221            4677.4        4838.96
222            4677.4        4838.96
223            4677.4        4838.96
224            4677.4        4838.96
225            4677.4        4838.96
226            4677.4        4838.96
227            4677.4        4838.96
228            4677.4        4838.96
229            4677.4        4838.96
230            4677.4        4838.95
231            4677.4        4838.94
232            4677.4        4838.94
233            4677.4        4838.94
234            4677.4        4838.94
235            4677.4        4838.94
236            4677.4        4838.93
237            4677.4        4838.93
238            4677.4        4838.92
239            4677.4        4838.92
240            4677.4        4838.92
241            4677.4        4838.91
242            4677.4         4838.9
243           4677.37        4838.89
244           4677.37        4838.89
245           4677.37        4838.89
246           4677.37        4838.88
247           4677.37        4838.88
248           4677.37        4838.88
249           4677.37        4838.88
250           4677.37        4838.88
251           4677.37        4838.88
252           4677.37        4838.88
253           4677.37        4838.88
254           4677.37        4838.88
255           4677.37        4838.86
256           4677.37        4838.86
257           4677.37        4838.86
258           4677.37        4838.85
259           4677.37        4838.85
260           4677.37        4838.85
261           4677.37        4838.85
262           4677.37        4838.85
263           4677.37        4838.85
264           4677.37        4838.85
265           4677.37        4838.85
266           4677.36        4838.84
267           4677.36        4838.84
268           4677.36        4838.84
269           4677.36        4838.84
270           4677.36        4838.83
271           4677.36        4838.83
272           4677.36        4838.82
273           4677.36        4838.82
274           4677.36        4838.82
275           4677.36        4838.82
276           4677.36        4838.82
277           4677.36        4838.82
278           4677.36        4838.81
279           4677.36        4838.81
280           4677.36         4838.8
281           4677.36         4838.8
282           4677.36         4838.8
283           4677.36         4838.8
284           4677.36         4838.8
285           4677.36         4838.8
286           4677.36         4838.8
287           4677.36         4838.8
288           4677.36        4838.79
289           4677.36        4838.79
290           4677.36        4838.78
291           4677.36        4838.78
292           4677.36        4838.78
293           4677.36        4838.78
294           4677.36        4838.78
295           4677.36        4838.78
296           4677.36        4838.78
297           4677.36        4838.78
298           4677.36        4838.78
299           4677.36        4838.78
300           4677.36        4838.78
301           4677.36        4838.77
302           4677.36        4838.77
303           4677.36        4838.77
304           4677.36        4838.77
305           4677.36        4838.77
306           4677.36        4838.77
307           4677.36        4838.77
308           4677.32        4838.77
309           4677.32        4838.77
310           4677.32        4838.77
311           4677.32        4838.77
312           4677.32        4838.77
313           4677.32        4838.77
314           4677.32        4838.77
315           4677.32        4838.77
316           4677.32        4838.77
317           4677.32        4838.77
318           4677.32        4838.77
319           4677.32        4838.76
320           4677.32        4838.76
321           4677.32        4838.76
322           4677.32        4838.76
323           4677.32        4838.76
324           4677.32        4838.76
325           4677.32        4838.76
326           4677.32        4838.76
327           4677.32        4838.76
328           4677.32        4838.76
329           4677.32        4838.76
330            4677.3        4838.76
331            4677.3        4838.75
332            4677.3        4838.75
333            4677.3        4838.75
334            4677.3        4838.75
335            4677.3        4838.75
336            4677.3        4838.75
337            4677.3        4838.75
338            4677.3        4838.75
339            4677.3        4838.75
340            4677.3        4838.75
341           4677.28        4838.74
342           4677.28        4838.74
343           4677.28        4838.74
344           4677.28        4838.74
345           4677.28        4838.74
346           4677.28        4838.74
347           4677.28        4838.74
348           4677.28        4838.74
349           4677.28        4838.74
350           4677.28        4838.74
351           4677.28        4838.74
352           4677.28        4838.74
353           4677.28        4838.74
354           4677.28        4838.74
355           4677.28        4838.74
356           4677.28        4838.74
357           4677.28        4838.74
358           4677.28        4838.74
359           4677.28        4838.74
360           4677.26        4838.73
361           4677.26        4838.72
362           4677.26        4838.72
363           4677.26        4838.72
364           4677.26        4838.72
365           4677.26        4838.72
366           4677.26        4838.72
367           4677.26        4838.72
368           4677.26        4838.71
369           4677.26        4838.71
370           4677.26        4838.71
371           4677.26        4838.71
372           4677.26        4838.71
373           4677.26         4838.7
374           4677.26         4838.7
375           4677.26         4838.7
376           4677.26         4838.7
377           4677.26         4838.7
378           4677.26         4838.7
379           4677.26         4838.7
380           4677.26         4838.7
381           4677.26         4838.7
382           4677.26        4838.69
383           4677.26        4838.69
384           4677.26        4838.69
385           4677.26        4838.69
386           4677.26        4838.69
387           4677.26        4838.69
388           4677.26        4838.69
389           4677.26        4838.69
390           4677.26        4838.69
391           4677.26        4838.69
392           4677.26        4838.69
393           4677.26        4838.68
394           4677.26        4838.68
395           4677.25        4838.68
396           4677.25        4838.68
397           4677.25        4838.68
398           4677.25        4838.68
399           4677.25        4838.67
400           4677.25        4838.67
401           4677.25        4838.67
402           4677.25        4838.67
403           4677.25        4838.67
404           4677.25        4838.67
405           4677.25        4838.67
406           4677.25        4838.67
407           4677.25        4838.67
408           4677.25        4838.67
409           4677.25        4838.66
410           4677.25        4838.66
411           4677.25        4838.66
412           4677.25        4838.66
413           4677.25        4838.66
414           4677.25        4838.66
415           4677.25        4838.66
416           4677.25        4838.66
417           4677.25        4838.66
418           4677.24        4838.65
419           4677.24        4838.65
420           4677.24        4838.65
421           4677.24        4838.65
422           4677.24        4838.65
423           4677.24        4838.65
424           4677.24        4838.65
425           4677.24        4838.65
426           4677.24        4838.65
427           4677.24        4838.65
428           4677.24        4838.65
429           4677.24        4838.65
430           4677.24        4838.64
431           4677.24        4838.64
432           4677.24        4838.64
433           4677.24        4838.64
434           4677.24        4838.64
435           4677.24        4838.64
436           4677.24        4838.64
437           4677.24        4838.64
438           4677.18        4838.63
439           4677.18        4838.63
440           4677.18        4838.63
441           4677.18        4838.63
442           4677.18        4838.63
443           4677.18        4838.63
444           4677.18        4838.63
445           4677.18        4838.62
446           4677.18        4838.62
447           4677.18        4838.62
448           4677.18        4838.62
449           4677.18        4838.62
450           4677.18        4838.62
451           4677.18        4838.62
452           4677.18        4838.62
453           4677.18        4838.62
454           4677.18        4838.62
455           4677.18        4838.62
456           4677.18        4838.61
457           4677.18        4838.61
458           4677.18        4838.61
459           4677.18        4838.61
