#ITER       #BEST_FO       #MEDIA_FO
1            7198.8         157734
2           7015.25        14999.7
3           6484.49        8430.84
4           5940.53        7172.98
5            5761.7        6672.18
6           5502.44        6320.62
7           5274.81        6068.33
8           5187.36        5793.99
9           5075.48        5650.89
10           5063.77        5503.05
11           5048.33        5455.79
12           4934.87        5325.07
13           4897.95        5244.51
14              4856        5191.92
15           4821.91        5143.98
16           4818.39         5116.8
17            4804.8        5055.22
18           4775.05        5032.24
19           4775.05        5022.37
20           4775.05        5007.37
21           4757.57        4993.88
22           4752.52        4972.89
23           4752.52        4963.16
24           4752.52        4953.38
25           4752.52        4945.32
26           4749.73           4940
27           4748.08        4936.11
28           4744.96        4929.49
29           4742.06        4925.49
30           4736.01        4923.72
31           4736.01        4919.95
32           4733.17        4916.04
33           4729.88        4912.92
34           4725.78        4909.38
35           4725.07        4907.59
36           4722.89        4902.92
37           4712.78        4900.02
38           4712.78        4896.78
39           4710.27        4893.79
40           4710.27        4891.63
41           4710.27        4888.79
42           4710.27        4886.39
43           4709.67        4882.35
44           4709.67        4881.48
45           4708.31        4880.53
46           4705.57           4879
47           4699.25        4875.07
48           4699.25        4872.66
49           4698.42        4870.64
50           4694.98        4866.33
51           4692.85        4864.07
52           4687.88        4860.83
53           4687.88        4859.03
54           4685.89        4857.43
55           4685.19        4856.31
56           4685.19        4855.59
57           4683.22        4854.24
58           4683.22        4853.43
59           4683.22        4852.77
60           4682.64        4851.79
61           4682.64         4850.5
62           4682.29        4849.75
63           4682.29        4849.38
64           4682.29        4849.01
65           4680.99         4848.5
66           4680.81        4848.11
67           4680.81        4847.97
68           4680.81        4847.48
69           4680.81        4846.96
70           4680.81        4846.19
71           4680.81        4845.91
72           4680.81         4845.5
73           4680.81        4845.33
74           4680.81         4845.3
75           4680.73        4845.18
76           4679.84         4844.7
77           4679.84         4844.4
78           4679.84        4844.24
79           4679.32        4843.97
80           4679.13        4843.86
81           4679.13        4843.83
82           4679.13        4843.59
83           4679.13        4843.56
84           4679.13        4843.36
85           4679.13        4843.11
86           4678.47        4842.85
87           4678.47        4842.49
88           4678.47        4842.41
89           4678.47        4842.21
90           4678.47        4842.13
91           4678.47        4841.97
92           4678.47        4841.95
93           4678.47        4841.87
94           4678.47        4841.82
95           4678.47        4841.82
96           4678.47        4841.79
97           4678.47        4841.79
98           4678.47        4841.74
99           4678.47        4841.62
100           4678.47        4841.62
101           4678.43        4841.57
102           4678.43        4841.47
103           4678.43        4841.43
104           4678.43         4841.4
105           4678.43        4841.34
106           4678.43        4841.29
107           4678.43        4841.23
108           4678.43        4841.14
109           4678.43        4841.13
110           4678.43         4841.1
111           4678.43         4841.1
112           4678.43        4841.07
113           4678.43        4840.93
114           4678.41        4840.83
115           4678.32        4840.77
116           4678.32        4840.73
117           4677.72        4840.61
118           4677.72        4840.57
119           4677.72        4840.54
120           4677.72        4840.53
121           4677.72        4840.53
122           4677.72        4840.47
123           4677.72        4840.41
124           4677.72        4840.38
125           4677.72        4840.35
126           4677.72         4840.3
127           4677.72        4840.24
128           4677.72        4840.19
129           4677.69        4840.16
130           4677.69        4840.16
131           4677.69        4840.16
132           4677.69        4840.01
133           4677.69        4840.01
134           4677.69        4839.97
135           4677.67        4839.92
136           4677.67        4839.89
137           4677.67        4839.86
138           4677.67        4839.85
139           4677.67        4839.84
140           4677.67        4839.82
141           4677.67        4839.82
142           4677.67        4839.82
143           4677.67        4839.81
144           4677.67        4839.79
145           4677.67        4839.77
146           4677.67        4839.72
147           4677.67        4839.71
148           4677.67        4839.71
149           4677.67        4839.71
150           4677.67         4839.7
151           4677.67         4839.7
152           4677.67         4839.7
153           4677.67        4839.66
154           4677.67        4839.66
155           4677.67        4839.66
156           4677.67        4839.62
157           4677.67        4839.62
158           4677.67        4839.62
159           4677.67        4839.62
160           4677.67        4839.61
161           4677.67        4839.61
162           4677.67        4839.61
163           4677.67        4839.61
164           4677.67        4839.61
165           4677.67        4839.61
166           4677.67         4839.6
167           4677.67         4839.6
168           4677.67         4839.6
169           4677.67         4839.6
170           4677.67        4839.59
171           4677.67        4839.58
172           4677.67        4839.58
173           4677.67        4839.58
174           4677.67        4839.58
175           4677.67        4839.53
176           4677.67         4839.5
177           4677.67         4839.5
178           4677.67         4839.5
179           4677.67         4839.5
180           4677.67         4839.5
181           4677.67        4839.49
