#ITER       #BEST_FO       #MEDIA_FO
1           6330.01        10105.8
2           5982.09        8213.39
3           5982.09        7631.52
4           5641.99        6973.03
5           5283.73        6206.28
6           5091.78        5951.07
7            5038.4        5659.09
8           5009.96        5509.58
9           5009.96        5419.58
10           4961.09        5364.15
11           4952.59        5285.74
12           4918.09        5229.14
13            4812.9        5171.21
14            4812.9        5125.06
15           4789.33        5070.32
16           4747.47        5032.09
17           4747.47         5009.2
18           4727.09        4976.17
19           4727.09        4961.86
20           4718.18        4943.29
21           4712.79        4925.13
22           4712.79        4916.23
23           4709.35        4909.79
24           4709.35        4901.99
25           4705.36        4898.95
26           4704.77        4891.19
27            4695.2        4887.39
28           4690.54        4882.02
29           4690.54        4881.18
30           4690.54        4876.74
31           4690.54        4870.55
32           4688.01        4867.39
33           4688.01         4865.1
34           4687.02        4864.52
35           4687.02         4862.1
36           4686.96        4860.16
37           4686.96        4858.89
38            4686.3        4857.32
39            4686.3        4856.38
40           4685.55         4855.6
41           4685.55        4855.16
42           4685.55        4854.56
43           4685.55        4854.06
44           4685.25        4852.68
45           4685.25        4852.05
46           4685.25        4851.86
47           4685.25        4851.74
48           4685.25        4851.59
49           4685.25        4851.32
50           4685.25        4851.19
51           4685.25        4850.79
52           4685.25        4850.63
53           4685.25        4850.48
54           4684.84        4850.38
55           4684.84        4850.25
56           4684.25        4850.03
57           4684.25        4849.66
58           4684.25        4849.58
59           4684.25        4849.16
60           4684.25        4848.84
61           4684.25        4848.65
62           4683.74        4848.43
63           4683.74        4847.93
64           4683.74        4847.77
65           4683.72        4847.64
66           4683.72        4847.43
67           4683.67        4847.33
68           4683.08        4847.14
69           4682.81        4846.93
70           4682.67        4846.83
71           4682.67        4846.77
72           4682.67        4846.69
73           4682.29        4846.61
74           4682.04        4846.55
75           4682.04         4846.5
76           4682.04        4846.38
77            4681.9        4846.16
78            4681.9        4845.93
79            4681.9        4845.92
80            4681.9        4845.85
81            4681.9        4845.63
82           4681.84        4845.52
83           4681.84        4845.46
84           4681.84        4845.36
85           4681.84        4845.24
86           4681.84        4845.23
87           4681.56        4845.07
88           4681.56         4844.8
89           4681.56        4844.66
90           4681.56        4844.63
91           4681.56        4844.56
92           4681.56         4844.5
93           4681.56        4844.45
94           4681.56         4844.4
95           4681.56        4844.32
96           4681.47        4844.31
97           4681.47        4844.22
98           4681.47        4844.22
99           4681.47        4844.18
100           4681.18        4844.05
101           4681.18        4843.95
102           4681.18        4843.86
103           4681.18        4843.84
104           4681.18        4843.84
105           4681.18        4843.77
106           4681.18         4843.7
107            4680.7        4843.63
108            4680.7        4843.62
109            4680.7        4843.61
110            4680.7        4843.59
111            4680.7        4843.52
112            4680.7        4843.47
113            4680.7        4843.46
114            4680.7        4843.44
115            4680.7        4843.38
116            4680.7         4843.3
117           4680.51        4843.23
118           4680.29        4843.13
119           4680.29         4843.1
120           4680.29        4843.08
121           4680.29        4843.04
122           4680.29        4842.99
123           4680.29        4842.98
124           4680.07        4842.93
125           4680.07        4842.91
126           4680.07        4842.88
127           4680.07        4842.87
128           4680.07        4842.86
129           4680.07        4842.86
130           4680.07        4842.83
131           4680.07         4842.8
132           4680.07        4842.76
133           4679.85        4842.74
134           4679.85        4842.71
135           4679.85        4842.71
136           4679.85         4842.6
137           4679.85         4842.6
138           4679.85        4842.52
139           4679.85        4842.46
140           4679.85        4842.45
141           4679.85        4842.43
142           4679.85        4842.35
143           4679.85        4842.32
144           4679.85        4842.31
145           4679.85         4842.3
146           4679.85        4842.27
147           4679.56        4842.19
148           4679.56        4842.17
149           4679.56        4842.15
150           4679.56        4842.12
151           4679.56        4842.11
152           4679.53         4842.1
153           4679.53        4842.08
154           4679.53        4842.07
155            4679.5        4842.06
