#ITER       #BEST_FO       #MEDIA_FO
1           7463.31        23521.3
2           6083.66        10042.7
3           5659.27        7831.35
4           5465.36        7201.91
5           5410.98        6572.62
6           5038.32         6211.6
7           5026.57        5894.13
8           4979.99        5613.96
9           4901.51         5406.7
10           4864.96        5257.44
11           4855.97         5183.4
12           4828.64         5108.4
13           4765.38        5072.37
14           4765.38        5038.31
15           4765.38        5002.35
16           4762.16        4986.92
17           4733.53        4969.97
18           4728.85        4948.13
19           4716.26        4932.18
20            4709.3        4921.29
21            4709.3         4914.8
22            4709.3         4905.4
23           4701.37        4898.62
24           4701.37        4892.76
25           4698.15        4887.48
26           4696.14        4880.06
27           4696.14        4874.09
28           4693.17        4869.82
29           4693.17        4867.34
30           4692.89        4864.05
31           4690.43        4862.03
32           4690.43        4859.41
33           4690.43        4858.25
34           4690.43        4857.76
35           4690.43        4857.61
36           4689.74        4856.85
37           4687.31        4855.95
38           4687.31        4855.01
39           4686.57        4854.53
40           4685.12        4853.66
41           4685.12        4853.27
42           4685.09         4852.7
43           4685.09        4852.14
44           4685.09        4851.95
45           4685.09        4851.73
46           4684.43        4851.33
47           4684.43        4850.69
48           4684.39        4850.33
49           4684.23        4849.82
50           4683.68        4849.48
51           4683.68        4849.08
52           4683.68        4848.52
53           4683.68        4848.23
54           4683.68        4848.01
55           4683.68        4847.78
56           4682.78        4847.57
57           4681.06        4846.99
58           4681.05        4846.61
59           4681.05         4846.4
60           4680.33        4846.05
61           4680.33        4845.69
62           4680.33        4845.56
63           4680.33        4845.55
64           4679.82        4845.25
65           4679.82           4845
66           4679.82        4844.98
67           4679.82        4844.84
68           4679.82        4844.61
69           4679.82        4844.42
70           4679.82        4844.37
71           4679.82        4844.25
72           4679.82        4844.04
73           4679.82        4843.89
74           4679.82        4843.82
75           4679.82        4843.77
76           4679.82        4843.69
77           4679.82        4843.65
78           4679.53         4843.5
79            4679.4        4843.34
80            4679.4        4843.25
81            4679.4        4843.24
82            4679.4        4843.13
83            4679.4         4843.1
84            4679.4        4843.05
85            4679.4        4843.05
86           4679.26        4842.95
87           4679.26        4842.89
88           4679.26        4842.81
89           4679.26        4842.72
90           4679.26        4842.72
91           4679.26        4842.69
92           4679.26        4842.52
93           4679.26        4842.35
94           4679.26        4842.31
95           4678.71        4842.27
96           4678.71         4842.2
97           4678.49        4842.14
98           4678.49         4842.1
99           4678.49        4841.93
100           4678.49        4841.88
101           4678.49        4841.88
102           4678.49        4841.86
103           4678.49        4841.84
104           4678.49         4841.8
105           4678.49        4841.73
106           4678.49        4841.66
107           4678.49        4841.62
108           4678.49        4841.54
109           4678.49        4841.39
110           4678.49        4841.34
111           4678.18        4841.28
112           4678.18        4841.19
113           4678.18        4841.12
114           4678.18        4841.12
115           4678.18        4841.08
116           4678.18        4841.07
117           4678.16           4841
118           4678.16        4840.98
119           4678.16         4840.9
120           4678.16        4840.88
121           4678.16         4840.8
122           4678.13        4840.76
123           4678.13        4840.76
124           4678.13        4840.67
125           4678.04        4840.64
126           4678.04        4840.63
127           4678.04        4840.62
128           4678.04        4840.59
