#ITER       #BEST_FO       #MEDIA_FO
1           16369.2    1.74615e+18
2           10308.3    1.30198e+17
3           10308.3    2.60395e+15
4           10308.3    5.20791e+13
5           9421.38    1.04158e+12
6           9421.38    2.08317e+10
7            8992.1    4.16649e+08
8            8992.1    8.34655e+06
9            8992.1         179882
10           8499.83        15587.4
11           8499.83        11531.1
12           8462.57        11201.9
13           8462.57        11078.8
14           8422.87        10784.2
15           7934.09        10283.8
16           7764.66        9775.74
17           7200.07           9414
18           7106.11        9089.13
19           6928.43        8885.16
20           6898.77        8733.48
21           6898.77        8628.42
22           6898.77        8444.07
23           6898.77        8351.68
24           6858.65         8247.1
25           6858.65        8159.88
26           6858.65        8080.11
27           6858.65        7993.37
28           6858.65        7948.95
29           6858.65        7940.74
30           6858.65        7932.76
31           6858.65        7928.69
32           6652.24         7816.4
33            6441.9        7787.07
34            6441.9        7746.85
35            6441.9        7728.07
36            6441.9        7724.88
37            6441.9        7714.58
38            6441.9        7676.42
39           6353.56        7596.23
40           6353.56        7532.04
41           6251.17        7515.37
42           6251.17        7500.13
43           6251.17        7410.76
44           6251.17         7400.7
45           6225.09        7358.39
46           6225.09        7348.29
47           6225.09        7319.23
48           6225.09         7268.8
49           6225.09        7202.44
50           6225.09        7168.27
51           6225.09        7140.43
52           6225.09        7101.83
53           6225.09        7040.89
54           6225.09        7019.69
55           6225.09        7017.09
56           6225.09        6998.05
57           6225.09        6992.43
58           6217.46         6984.5
59           6217.46        6953.78
60           6217.46        6930.63
61           6217.46        6911.76
62           6217.46        6906.48
63           6217.46        6825.14
64           6217.46        6799.94
65           6217.46        6793.11
66           6217.46        6788.85
67           6217.46        6780.37
68           6067.69        6748.44
69           6067.69        6739.78
70           6067.69        6720.34
71           6067.69        6711.55
72           6067.69        6711.38
73           6067.69        6710.74
74           6067.69        6704.91
75           6067.69        6704.39
76           6067.69        6704.38
77           6067.69        6704.38
78           6067.69        6704.38
79           6067.69        6704.38
80           6067.69        6704.38
81           6067.69        6704.38
82           6067.69        6703.66
83           6067.69        6698.23
84           6067.69        6690.96
85           6067.69        6678.23
86           6067.69        6677.98
87           6067.69        6677.97
88           6067.69        6677.65
89           6067.69        6677.57
90           6067.69        6657.87
91           6067.69        6657.47
92           6067.69        6632.15
93           6067.69        6631.64
94           6067.69         6628.8
95           6067.69        6628.74
96           6067.69        6628.74
97           6067.69        6628.74
98           6067.69        6625.92
99           6067.69        6621.07
100           6067.69        6620.98
101           6067.69        6619.28
102           6067.69        6619.25
103           6067.69        6604.41
104           6067.69        6596.64
105           6067.69        6596.48
106           6067.69        6596.48
107           6067.69        6596.48
108           6067.69        6594.13
109           6067.69        6594.08
110           6067.69        6593.25
111           6067.69        6593.24
112           6067.69        6585.65
113           6067.69         6585.5
114           6067.69        6585.49
