#ITER       #BEST_FO       #MEDIA_FO
1           6815.17          13125
2           6054.85        8149.13
3           5825.99        6724.21
4           5273.11        6185.21
5           5133.58        5902.23
6           5133.58         5767.8
7           5133.58        5632.55
8           5010.69        5479.11
9           4947.49        5376.69
10            4842.6        5294.89
11           4758.15        5194.43
12           4758.15        5091.32
13           4737.61        5041.06
14           4712.03           4997
15           4712.03        4971.82
16           4712.03        4951.87
17           4706.73        4934.27
18           4706.73         4921.1
19            4704.9        4909.22
20            4704.9        4899.48
21           4700.62        4892.74
22           4700.62        4889.24
23           4700.62        4886.85
24           4700.24        4884.21
25           4700.24        4881.42
26           4698.97         4879.3
27           4698.85         4876.3
28           4698.85        4872.71
29           4697.78        4870.99
30           4695.72        4868.33
31           4692.41        4866.51
32           4692.41        4864.32
33           4692.41        4863.02
34           4692.41        4861.92
35           4692.31        4861.02
36           4692.31        4860.44
37           4690.45        4859.74
38           4690.45        4857.76
39           4690.45        4857.14
40           4690.45        4856.47
41           4690.45        4856.13
42           4690.45        4855.89
43           4690.45        4855.69
44           4690.45        4855.47
45           4690.06        4854.78
46           4689.39        4854.59
47           4689.39        4854.38
48           4689.39        4854.34
49           4689.39        4853.97
50           4689.39        4853.84
51           4689.39        4853.78
52           4688.93        4853.53
53           4688.87        4853.39
54           4688.87        4853.33
55           4688.87         4853.3
56           4688.87        4853.15
57           4688.87        4852.87
58           4688.87        4852.86
59           4688.87         4852.8
60           4687.74        4852.69
61           4687.74        4852.65
62           4687.74        4852.45
63           4687.74        4852.41
64           4687.74        4852.41
65           4687.74        4852.32
66           4687.74        4852.29
67           4687.74        4852.28
68           4687.74        4852.28
69           4687.74        4852.28
70           4687.74        4852.17
71           4687.08        4852.06
72           4687.08        4852.06
73           4687.04        4851.91
74           4687.04        4851.91
75           4687.04         4851.8
76           4687.04        4851.71
77           4687.04        4851.64
78           4687.04        4851.58
79           4687.04        4851.51
80           4687.04        4851.46
81           4687.04        4851.33
82           4687.04        4851.33
83           4687.04        4851.26
84           4687.04        4851.17
85           4687.04        4851.11
86           4687.04        4851.09
87           4686.87        4851.03
88           4686.87        4850.95
89           4686.87        4850.88
90           4686.87        4850.83
91           4686.83        4850.64
92           4686.83        4850.56
93           4686.83        4850.56
94           4686.83        4850.47
95           4686.83        4850.41
96           4686.83         4850.4
97           4686.83        4850.38
98           4686.83        4850.24
99           4686.69        4850.11
100           4686.69        4850.09
101           4686.69        4850.06
102           4686.69        4850.06
103           4686.69        4849.98
104           4686.69        4849.93
105           4686.69        4849.75
106           4686.69        4849.73
107           4686.28         4849.7
108           4686.28        4849.67
109           4686.28        4849.65
110           4686.28        4849.65
111           4686.28        4849.62
112           4685.18        4849.53
113           4685.18        4849.52
114           4685.18        4849.48
115           4685.18        4849.45
116           4685.18        4849.23
117           4685.18        4849.11
118            4684.4        4848.91
119            4684.4        4848.91
120            4684.4        4848.91
121            4684.4        4848.85
122            4684.4        4848.83
123            4684.4        4848.81
124            4684.4        4848.63
125            4684.4        4848.58
126            4684.4        4848.47
127            4684.4        4848.46
128            4684.4        4848.24
129            4684.4        4848.12
130            4684.4        4848.06
131           4684.35        4848.04
132           4684.15        4847.91
133           4684.15        4847.91
134           4684.15        4847.78
135           4683.92        4847.69
136           4683.38        4847.41
137           4683.38        4847.23
138           4683.38        4847.11
139           4682.96        4846.76
140           4682.93        4846.61
141           4682.93        4846.56
142           4682.93        4846.26
143            4682.1        4845.92
144           4681.77        4845.63
145           4680.94        4845.37
146           4680.94        4845.13
147           4680.78        4844.99
148           4680.78        4844.87
149           4680.64        4844.55
150           4680.25        4844.31
151           4679.76        4844.23
152           4679.49        4843.95
153           4679.49        4843.82
154            4679.3        4843.76
155            4679.3        4843.61
156           4679.28        4843.29
157           4679.19        4843.19
158           4678.85        4843.01
159           4678.85        4842.87
160           4678.85         4842.6
161           4678.85        4842.49
162           4678.59        4842.44
163           4678.54        4842.38
164           4678.54        4842.28
165           4678.54        4842.11
166           4678.54        4841.97
167           4678.54        4841.85
168           4678.54        4841.78
169           4678.54        4841.69
170           4678.54        4841.66
171           4678.19        4841.51
172            4678.1        4841.38
173           4677.99        4841.35
174           4677.99        4841.28
175           4677.99        4841.08
176           4677.99        4841.05
177           4677.99        4841.02
178           4677.99        4840.98
179           4677.99        4840.94
180           4677.99        4840.86
181           4677.99        4840.75
182           4677.99         4840.7
183           4677.99        4840.68
184           4677.99        4840.59
185           4677.99        4840.49
186           4677.99        4840.42
