#ITER       #BEST_FO       #MEDIA_FO
1           8003.24        18137.9
2           7239.18        12061.7
3           6668.08        7964.84
4           6635.89        7494.76
5           6299.36        7001.51
6           5891.18        6680.77
7           5796.73        6395.23
8           5731.61        6254.09
9           5660.87        6137.83
10           5401.08        5952.59
11           5277.82        5787.82
12           5054.79        5611.51
13            5026.1        5498.48
14           4913.23        5399.36
15           4902.99        5336.91
16           4891.19        5220.21
17           4891.19        5188.32
18           4874.06        5148.07
19           4820.74        5100.82
20           4818.59        5066.42
21           4804.78        5042.52
22           4785.39        5023.78
23           4766.72         5010.7
24           4766.72         4987.3
25           4765.88        4972.96
26           4765.04        4966.23
27           4765.04        4956.01
28           4755.49         4950.4
29           4755.49        4948.14
30           4740.72        4939.52
31            4727.4        4927.67
32            4709.6         4917.5
33            4709.6         4912.4
34           4697.38        4901.21
35           4697.38        4895.75
36           4692.19        4892.15
37           4692.19        4884.85
38           4690.47        4881.33
39           4690.47        4877.82
40           4690.47        4875.72
41           4690.47        4872.49
42           4690.47        4870.83
43           4690.47         4869.6
44           4687.57        4866.16
45           4687.57        4863.05
46           4687.57        4861.96
47           4687.57         4860.8
48           4687.57        4860.03
49           4687.57         4858.4
50           4687.57         4858.1
51           4687.57        4856.97
52            4686.7        4855.71
53           4686.12        4854.23
54           4685.16        4854.09
55           4685.16        4853.88
56           4685.16        4853.45
57           4685.16        4853.26
58           4685.16        4853.25
59           4685.16        4852.69
60           4685.16        4852.13
61           4685.16        4851.27
62           4684.94        4850.78
63           4684.94        4850.52
64           4684.94        4850.27
65           4684.64        4850.13
66           4684.64        4849.82
67           4684.64         4849.6
68           4684.35        4849.31
69           4684.35        4849.22
70           4684.35        4849.09
71           4684.09        4849.03
72           4684.09        4848.88
73           4684.09        4848.75
74           4684.09        4848.74
75           4684.09        4848.54
76           4684.09        4848.48
77           4684.09         4848.3
78           4683.99        4848.17
79           4683.99        4848.12
80           4683.71        4847.99
81           4683.71        4847.96
82           4683.71        4847.88
83           4683.71        4847.76
84           4683.71        4847.71
85           4683.71        4847.55
86            4683.6        4847.39
87            4683.6        4847.34
88            4683.6        4847.14
89           4683.44        4847.04
90           4683.44        4846.73
91           4682.71        4846.67
92           4682.71        4846.42
93           4682.71        4846.24
94           4682.05        4846.13
95           4682.05        4846.12
96           4682.05        4846.12
97           4682.05        4846.09
98           4682.05           4846
99           4682.05        4845.86
100           4682.05        4845.86
101           4682.05        4845.68
102           4682.05        4845.62
103           4682.05        4845.57
104           4682.05        4845.57
105           4682.05        4845.48
106           4682.05        4845.45
107           4681.31        4845.26
108           4681.31        4845.25
109           4681.31        4845.22
110           4681.31         4845.1
111           4681.31        4845.08
112           4681.31        4845.06
113           4681.31        4845.04
114           4681.04        4844.93
115           4681.04        4844.86
116           4681.04        4844.67
117           4681.04        4844.63
118           4680.98        4844.54
119           4680.98        4844.43
120           4680.46        4844.39
121           4680.46        4844.09
122           4680.46        4843.96
123            4680.3        4843.76
124            4680.3        4843.55
125           4679.96        4843.46
126           4679.96        4843.39
127           4679.96        4843.38
128           4679.91        4843.36
129           4679.89        4843.32
130           4679.64        4843.24
131           4679.64        4843.24
132           4679.64        4843.19
133           4679.64         4843.1
134           4679.64        4843.03
135           4679.64           4843
136           4679.63        4842.88
137           4679.63        4842.81
138           4679.63        4842.78
139           4679.63        4842.74
140           4679.63        4842.58
141           4679.63        4842.54
142            4679.5         4842.5
143           4679.43        4842.47
144           4679.43        4842.47
145           4679.43        4842.44
146           4679.43        4842.44
147           4679.43        4842.44
148           4679.43        4842.42
149           4679.43        4842.38
150           4679.43        4842.32
151           4679.43         4842.3
152           4679.43         4842.3
153           4679.43         4842.3
154           4679.43         4842.3
155           4679.43         4842.3
156           4679.43        4842.27
157           4679.43        4842.26
158           4679.43        4842.24
159           4679.43        4842.23
160           4679.43        4842.23
161           4679.43        4842.21
162           4679.43        4842.17
163           4679.43        4842.15
164           4679.43        4842.15
165           4679.43        4842.14
166           4679.43        4842.14
167           4679.43        4842.13
168           4679.39        4842.11
169           4679.39         4842.1
170           4679.39        4842.09
171           4679.39        4842.07
172           4679.39        4842.03
173           4679.39        4842.01
174           4679.33        4841.96
175           4679.33        4841.93
176           4679.28        4841.92
177           4679.28        4841.83
178           4679.28        4841.81
179           4679.28        4841.78
180           4679.28        4841.71
181           4679.28        4841.64
182           4679.28        4841.59
183           4679.28        4841.59
184           4679.28        4841.59
185           4679.28        4841.59
186           4679.25        4841.58
187           4679.25        4841.53
188           4679.25        4841.53
189           4679.25        4841.53
190           4679.25        4841.53
191           4679.25        4841.53
192           4679.25        4841.52
193           4679.25        4841.51
194           4679.25        4841.51
195           4679.25         4841.5
196           4679.25        4841.49
197           4679.25        4841.48
198           4679.25        4841.44
199           4679.25        4841.44
200           4679.25        4841.43
201           4679.15        4841.38
202           4679.15        4841.38
203           4679.15        4841.36
204           4679.15        4841.36
205           4679.15        4841.36
206           4679.15        4841.34
207           4679.15        4841.34
208           4679.15        4841.25
209           4679.15        4841.25
210           4679.15        4841.23
211           4679.15        4841.19
212           4679.15        4841.18
213           4679.15        4841.18
214           4679.15        4841.16
215           4679.15        4841.16
216           4679.15        4841.15
217           4679.15        4841.13
218           4679.15        4841.13
219           4679.15        4841.13
220           4679.15        4841.11
221           4679.13        4841.07
222           4679.13        4841.06
223           4679.13        4841.06
224           4679.13        4841.06
225           4679.13        4841.05
226           4679.13        4841.04
227           4679.13        4841.04
228           4679.13        4841.04
229            4679.1        4841.01
230            4679.1        4840.97
231            4679.1        4840.97
232           4679.09        4840.94
233           4679.09        4840.93
234           4679.06        4840.92
235           4679.06        4840.92
236           4679.06        4840.91
237           4679.06         4840.9
238           4679.06         4840.9
239           4679.06         4840.9
240           4679.06         4840.9
241           4679.06         4840.9
242           4679.06         4840.9
243           4679.06        4840.86
244           4679.06        4840.86
245           4679.06        4840.86
246           4679.06        4840.86
247           4679.06        4840.82
248           4679.06        4840.81
249           4679.06        4840.81
250           4679.06         4840.8
251           4679.06         4840.8
252           4678.92        4840.78
253           4678.92        4840.78
254           4678.92        4840.77
255           4678.92        4840.76
256           4678.92        4840.75
257           4678.92        4840.75
258           4678.92        4840.75
259           4678.92        4840.75
260           4678.92        4840.75
261           4678.92        4840.74
262           4678.92        4840.73
263           4678.92        4840.72
264           4678.92         4840.7
265           4678.92         4840.7
266           4678.92         4840.7
267           4678.92        4840.69
268           4678.92        4840.68
269           4678.92        4840.67
270           4678.92        4840.66
271           4678.92        4840.65
272           4678.92        4840.65
273           4678.92        4840.64
274           4678.77        4840.62
275           4678.77        4840.62
276           4678.77         4840.6
277           4678.77         4840.6
278           4678.77        4840.58
